yourlist:M201912106746803381A1F0E0DB47453E0216320D314B872,Entry,Entry name,Status,Protein names,Gene names,Organism,Length
NPHP4,O75161,NPHP4_HUMAN,reviewed,Nephrocystin-4 (Nephroretinin),NPHP4 KIAA0673,Homo sapiens (Human),1426
ESPN,A0A0A0MSQ4,A0A0A0MSQ4_HUMAN,unreviewed,Espin,ESPN,Homo sapiens (Human),288
ESPN,A0A0J9YW00,A0A0J9YW00_HUMAN,unreviewed,Espin (Fragment),ESPN,Homo sapiens (Human),60
ESPN,A0A0J9YWQ8,A0A0J9YWQ8_HUMAN,unreviewed,Espin (Fragment),ESPN,Homo sapiens (Human),237
ESPN,A0A0J9YY76,A0A0J9YY76_HUMAN,unreviewed,Espin (Fragment),ESPN,Homo sapiens (Human),179
ESPN,A0A1B0GUN9,A0A1B0GUN9_HUMAN,unreviewed,Espin,ESPN,Homo sapiens (Human),1362
ESPN,A0A1B0GUS9,A0A1B0GUS9_HUMAN,unreviewed,Espin (Fragment),ESPN,Homo sapiens (Human),176
ESPN,A0A2R8Y6D3,A0A2R8Y6D3_HUMAN,unreviewed,Espin (Fragment),ESPN,Homo sapiens (Human),84
ESPN,A0A2R8Y7L7,A0A2R8Y7L7_HUMAN,unreviewed,Espin (Fragment),ESPN,Homo sapiens (Human),82
ESPN,A0A2R8YG57,A0A2R8YG57_HUMAN,unreviewed,Espin (Fragment),ESPN,Homo sapiens (Human),206
ESPN,B1AK53,ESPN_HUMAN,reviewed,Espin (Autosomal recessive deafness type 36 protein) (Ectoplasmic specialization protein),ESPN DFNB36 LP2654,Homo sapiens (Human),854
ESPN,H0Y7L4,H0Y7L4_HUMAN,unreviewed,Espin (Fragment),ESPN,Homo sapiens (Human),188
ESPN,K7EMB7,K7EMB7_HUMAN,unreviewed,Espin (Fragment),ESPN,Homo sapiens (Human),28
ESPN,Q5JYL1,Q5JYL1_HUMAN,unreviewed,Espin (Fragment),ESPN,Homo sapiens (Human),213
PLEKHG5,A0A1W2PPJ8,A0A1W2PPJ8_HUMAN,unreviewed,Pleckstrin homology domain-containing family G member 5 (Fragment),PLEKHG5,Homo sapiens (Human),70
PLEKHG5,O94827,PKHG5_HUMAN,reviewed,Pleckstrin homology domain-containing family G member 5 (PH domain-containing family G member 5) (Guanine nucleotide exchange factor 720) (GEF720),PLEKHG5 KIAA0720,Homo sapiens (Human),1062
PLEKHG5,Q5SY18,Q5SY18_HUMAN,unreviewed,Pleckstrin homology domain-containing family G member 5,PLEKHG5,Homo sapiens (Human),852
PARK7,K7ELW0,K7ELW0_HUMAN,unreviewed,Protein/nucleic acid deglycase DJ-1,PARK7,Homo sapiens (Human),169
PARK7,K7EN27,K7EN27_HUMAN,unreviewed,Protein/nucleic acid deglycase DJ-1 (Fragment),PARK7,Homo sapiens (Human),160
PARK7,Q99497,PARK7_HUMAN,reviewed,Protein/nucleic acid deglycase DJ-1 (EC 3.1.2.-) (EC 3.5.1.-) (EC 3.5.1.124) (Maillard deglycase) (Oncogene DJ1) (Parkinson disease protein 7) (Parkinsonism-associated deglycase) (Protein DJ-1) (DJ-1),PARK7,Homo sapiens (Human),189
RERE,A0A024R4E9,A0A024R4E9_HUMAN,unreviewed,"Arginine-glutamic acid dipeptide (RE) repeats, isoform CRA_a",RERE hCG_2008872,Homo sapiens (Human),1566
RERE,A0A075B770,A0A075B770_HUMAN,unreviewed,Arginine-glutamic acid dipeptide repeats protein (Fragment),RERE,Homo sapiens (Human),213
RERE,A0A590UJ84,A0A590UJ84_HUMAN,unreviewed,Arginine-glutamic acid dipeptide repeats protein (Fragment),RERE,Homo sapiens (Human),783
RERE,A0A590UK57,A0A590UK57_HUMAN,unreviewed,Arginine-glutamic acid dipeptide repeats protein,RERE,Homo sapiens (Human),402
RERE,B1AKN3,B1AKN3_HUMAN,unreviewed,"Arginine-glutamic acid dipeptide (RE) repeats, isoform CRA_b (Arginine-glutamic acid dipeptide repeats protein)",RERE hCG_2008872,Homo sapiens (Human),1298
RERE,D6RA28,D6RA28_HUMAN,unreviewed,Arginine-glutamic acid dipeptide repeats protein (Fragment),RERE,Homo sapiens (Human),177
RERE,H0Y975,H0Y975_HUMAN,unreviewed,Arginine-glutamic acid dipeptide repeats protein (Fragment),RERE,Homo sapiens (Human),91
RERE,H7BYW9,H7BYW9_HUMAN,unreviewed,Arginine-glutamic acid dipeptide repeats protein,RERE,Homo sapiens (Human),584
RERE,K7EIE3,K7EIE3_HUMAN,unreviewed,Arginine-glutamic acid dipeptide repeats protein (Fragment),RERE,Homo sapiens (Human),89
RERE,K7EIQ4,K7EIQ4_HUMAN,unreviewed,Arginine-glutamic acid dipeptide repeats protein (Fragment),RERE,Homo sapiens (Human),26
RERE,K7EJQ1,K7EJQ1_HUMAN,unreviewed,Arginine-glutamic acid dipeptide repeats protein (Fragment),RERE,Homo sapiens (Human),35
RERE,Q9P2R6,RERE_HUMAN,reviewed,Arginine-glutamic acid dipeptide repeats protein (Atrophin-1-like protein) (Atrophin-1-related protein),RERE ARG ARP ATN1L KIAA0458,Homo sapiens (Human),1566
PIK3CD,A0A024R4H1,A0A024R4H1_HUMAN,unreviewed,"Phosphoinositide-3-kinase, catalytic, delta polypeptide, isoform CRA_a",PIK3CD hCG_1748740,Homo sapiens (Human),546
PIK3CD,A0A2K8FKQ1,A0A2K8FKQ1_HUMAN,unreviewed,"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit (EC 2.7.1.153)",PIK3CD,Homo sapiens (Human),988
PIK3CD,A0A2K8FKR1,A0A2K8FKR1_HUMAN,unreviewed,"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit (EC 2.7.1.153)",PIK3CD,Homo sapiens (Human),958
PIK3CD,A0A2K8FKT1,A0A2K8FKT1_HUMAN,unreviewed,"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit (EC 2.7.1.153)",PIK3CD,Homo sapiens (Human),1014
PIK3CD,A0A2K8FKV1,A0A2K8FKV1_HUMAN,unreviewed,"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit (EC 2.7.1.153)",PIK3CD,Homo sapiens (Human),1044
PIK3CD,A7E2E0,A7E2E0_HUMAN,unreviewed,"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit (EC 2.7.1.153)",PIK3CD,Homo sapiens (Human),1044
PIK3CD,B7ZM44,B7ZM44_HUMAN,unreviewed,"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit (EC 2.7.1.153)",PIK3CD,Homo sapiens (Human),1043
PIK3CD,F8W9P4,F8W9P4_HUMAN,unreviewed,"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit (EC 2.7.1.153)",PIK3CD,Homo sapiens (Human),1068
PIK3CD,O00329,PK3CD_HUMAN,reviewed,"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit delta isoform (PI3-kinase subunit delta) (PI3K-delta) (PI3Kdelta) (PtdIns-3-kinase subunit delta) (EC 2.7.1.153) (Phosphatidylinositol 4,5-bisphosphate 3-kinase 110 kDa catalytic subunit delta) (PtdIns-3-kinase subunit p110-delta) (p110delta)",PIK3CD,Homo sapiens (Human),1044
PIK3CD,Q5SR50,Q5SR50_HUMAN,unreviewed,"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit (EC 2.7.1.153)",PIK3CD,Homo sapiens (Human),1068
NMNAT1,A0A024R4E1,A0A024R4E1_HUMAN,unreviewed,Nicotinamide-nucleotide adenylyltransferase (EC 2.7.7.1) (EC 2.7.7.18) (Nicotinate-nucleotide adenylyltransferase),NMNAT1 hCG_1820992,Homo sapiens (Human),279
NMNAT1,B1AN62,B1AN62_HUMAN,unreviewed,Nicotinamide/nicotinic acid mononucleotide adenylyltransferase 1,NMNAT1,Homo sapiens (Human),160
NMNAT1,K7EPD7,K7EPD7_HUMAN,unreviewed,Nicotinamide/nicotinic acid mononucleotide adenylyltransferase 1 (Fragment),NMNAT1,Homo sapiens (Human),42
NMNAT1,Q9HAN9,NMNA1_HUMAN,reviewed,Nicotinamide/nicotinic acid mononucleotide adenylyltransferase 1 (NMN/NaMN adenylyltransferase 1) (EC 2.7.7.1) (EC 2.7.7.18) (Nicotinamide-nucleotide adenylyltransferase 1) (NMN adenylyltransferase 1) (Nicotinate-nucleotide adenylyltransferase 1) (NaMN adenylyltransferase 1),NMNAT1 NMNAT,Homo sapiens (Human),279
KIF1B,A0A024R4H4,A0A024R4H4_HUMAN,unreviewed,"Kinesin family member 1B, isoform CRA_b",KIF1B hCG_25285,Homo sapiens (Human),1633
KIF1B,A0A087WWA3,A0A087WWA3_HUMAN,unreviewed,Kinesin-like protein KIF1B,KIF1B,Homo sapiens (Human),1797
KIF1B,A0A0U1RQL3,A0A0U1RQL3_HUMAN,unreviewed,Kinesin-like protein KIF1B (Fragment),KIF1B,Homo sapiens (Human),498
KIF1B,O60333,KIF1B_HUMAN,reviewed,Kinesin-like protein KIF1B (Klp),KIF1B KIAA0591 KIAA1448,Homo sapiens (Human),1816
KIF1B,Q4R9M9,Q4R9M9_HUMAN,unreviewed,Kinesin family member 1Bbeta isoform II (Kinesin-like protein KIF1B),KIF1B KIF1Bbeta,Homo sapiens (Human),1809
PEX14,K7EK59,K7EK59_HUMAN,unreviewed,Peroxisomal membrane protein PEX14 (Fragment),PEX14,Homo sapiens (Human),160
PEX14,O75381,PEX14_HUMAN,reviewed,Peroxisomal membrane protein PEX14 (PTS1 receptor-docking protein) (Peroxin-14) (Peroxisomal membrane anchor protein PEX14),PEX14,Homo sapiens (Human),377
PEX14,Q8WVL1,Q8WVL1_HUMAN,unreviewed,PEX14 protein (Fragment),PEX14,Homo sapiens (Human),20
TARDBP,A0A024R4E2,A0A024R4E2_HUMAN,unreviewed,"TAR DNA binding protein, isoform CRA_b",TARDBP hCG_2005583,Homo sapiens (Human),414
TARDBP,A0A087WTG4,A0A087WTG4_HUMAN,unreviewed,TAR DNA-binding protein 43 (Fragment),TARDBP,Homo sapiens (Human),35
TARDBP,A0A087WV68,A0A087WV68_HUMAN,unreviewed,TAR DNA-binding protein 43 (Fragment),TARDBP,Homo sapiens (Human),212
TARDBP,A0A087WVX6,A0A087WVX6_HUMAN,unreviewed,TAR DNA-binding protein 43 (Fragment),TARDBP,Homo sapiens (Human),115
TARDBP,A0A087WW61,A0A087WW61_HUMAN,unreviewed,TAR DNA-binding protein 43 (Fragment),TARDBP,Homo sapiens (Human),138
TARDBP,A0A087WX29,A0A087WX29_HUMAN,unreviewed,TAR DNA-binding protein 43 (Fragment),TARDBP,Homo sapiens (Human),243
TARDBP,A0A087WX67,A0A087WX67_HUMAN,unreviewed,TAR DNA-binding protein 43 (Fragment),TARDBP,Homo sapiens (Human),149
TARDBP,A0A087WXQ5,A0A087WXQ5_HUMAN,unreviewed,TAR DNA-binding protein 43 (Fragment),TARDBP,Homo sapiens (Human),200
TARDBP,A0A087WXV3,A0A087WXV3_HUMAN,unreviewed,TAR DNA-binding protein 43 (Fragment),TARDBP,Homo sapiens (Human),175
TARDBP,A0A087WYY0,A0A087WYY0_HUMAN,unreviewed,TAR DNA-binding protein 43,TARDBP,Homo sapiens (Human),304
TARDBP,A0A087WZC9,A0A087WZC9_HUMAN,unreviewed,TAR DNA-binding protein 43 (Fragment),TARDBP,Homo sapiens (Human),127
TARDBP,A0A087WZM1,A0A087WZM1_HUMAN,unreviewed,TAR DNA-binding protein 43 (Fragment),TARDBP,Homo sapiens (Human),78
TARDBP,A0A087X260,A0A087X260_HUMAN,unreviewed,TAR DNA-binding protein 43,TARDBP,Homo sapiens (Human),301
TARDBP,A0A0A0MSV7,A0A0A0MSV7_HUMAN,unreviewed,TAR DNA-binding protein 43 (TDP43 isoform F),TARDBP TDP43,Homo sapiens (Human),84
TARDBP,A0A0A0N0M3,A0A0A0N0M3_HUMAN,unreviewed,TAR DNA-binding protein 43 (TDP43 isoform I),TARDBP TDP43,Homo sapiens (Human),269
TARDBP,A0A1W2PNU8,A0A1W2PNU8_HUMAN,unreviewed,TAR DNA-binding protein 43,TARDBP,Homo sapiens (Human),258
TARDBP,B1AKP7,B1AKP7_HUMAN,unreviewed,TAR DNA-binding protein 43,TARDBP,Homo sapiens (Human),295
TARDBP,G3V162,G3V162_HUMAN,unreviewed,"TAR DNA binding protein, isoform CRA_d (TAR DNA-binding protein 43)",TARDBP hCG_2005583,Homo sapiens (Human),298
TARDBP,K7EJ99,K7EJ99_HUMAN,unreviewed,TAR DNA-binding protein 43,TARDBP,Homo sapiens (Human),80
TARDBP,K7EJM5,K7EJM5_HUMAN,unreviewed,TAR DNA-binding protein 43 (Fragment),TARDBP,Homo sapiens (Human),201
TARDBP,K7EL26,K7EL26_HUMAN,unreviewed,TAR DNA-binding protein 43 (Fragment),TARDBP,Homo sapiens (Human),65
TARDBP,K7EN94,K7EN94_HUMAN,unreviewed,TAR DNA-binding protein 43 (Fragment),TARDBP,Homo sapiens (Human),275
TARDBP,K7ENM9,K7ENM9_HUMAN,unreviewed,TAR DNA-binding protein 43 (Fragment),TARDBP,Homo sapiens (Human),16
TARDBP,Q13148,TADBP_HUMAN,reviewed,TAR DNA-binding protein 43 (TDP-43),TARDBP TDP43,Homo sapiens (Human),414
TARDBP,Q9H256,Q9H256_HUMAN,unreviewed,"TAR DNA binding protein, isoform CRA_c",TARDBP hCG_2005583,Homo sapiens (Human),54
MASP2,O00187,MASP2_HUMAN,reviewed,Mannan-binding lectin serine protease 2 (EC 3.4.21.104) (MBL-associated serine protease 2) (Mannose-binding protein-associated serine protease 2) (MASP-2) [Cleaved into: Mannan-binding lectin serine protease 2 A chain; Mannan-binding lectin serine protease 2 B chain],MASP2,Homo sapiens (Human),686
MTOR,B1AKP8,B1AKP8_HUMAN,unreviewed,Serine/threonine-protein kinase mTOR,MTOR,Homo sapiens (Human),754
MTOR,B1AKQ2,B1AKQ2_HUMAN,unreviewed,Serine/threonine-protein kinase mTOR (Fragment),MTOR,Homo sapiens (Human),161
MTOR,P42345,MTOR_HUMAN,reviewed,Serine/threonine-protein kinase mTOR (EC 2.7.11.1) (FK506-binding protein 12-rapamycin complex-associated protein 1) (FKBP12-rapamycin complex-associated protein) (Mammalian target of rapamycin) (mTOR) (Mechanistic target of rapamycin) (Rapamycin and FKBP12 target 1) (Rapamycin target protein 1),MTOR FRAP FRAP1 FRAP2 RAFT1 RAPT1,Homo sapiens (Human),2549
MTHFR,A0A1B0GXD9,A0A1B0GXD9_HUMAN,unreviewed,Methylenetetrahydrofolate reductase (Fragment),MTHFR,Homo sapiens (Human),29
MTHFR,A0A1C9J7R9,A0A1C9J7R9_HUMAN,unreviewed,Methylenetetrahydrofolate reductase (Fragment),MTHFR,Homo sapiens (Human),64
MTHFR,A0A1W5XGE6,A0A1W5XGE6_HUMAN,unreviewed,Methylenetetrahydrofolate reductase (EC 1.5.1.20) (Fragment),MTHFR,Homo sapiens (Human),56
MTHFR,A0A286YF17,A0A286YF17_HUMAN,unreviewed,Methylenetetrahydrofolate reductase (EC 1.5.1.20),MTHFR,Homo sapiens (Human),549
MTHFR,A0A286YF47,A0A286YF47_HUMAN,unreviewed,Methylenetetrahydrofolate reductase,MTHFR,Homo sapiens (Human),82
MTHFR,A0A286YFD0,A0A286YFD0_HUMAN,unreviewed,Methylenetetrahydrofolate reductase (EC 1.5.1.20),MTHFR,Homo sapiens (Human),642
MTHFR,A0A482KE01,A0A482KE01_HUMAN,unreviewed,Methylenetetrahydrofolate reductase (EC 1.5.1.20) (Fragment),MTHFR,Homo sapiens (Human),64
MTHFR,A0A482KFZ6,A0A482KFZ6_HUMAN,unreviewed,Methylenetetrahydrofolate reductase isoform X5 (EC 1.5.1.20) (Fragment),MTHFR,Homo sapiens (Human),60
MTHFR,A0A4P8L6T5,A0A4P8L6T5_HUMAN,unreviewed,Methylenetetrahydrofolate reductase (Fragment),MTHFR,Homo sapiens (Human),37
MTHFR,A0MPA5,A0MPA5_HUMAN,unreviewed,Methylenetetrahydrofolate reductase (Fragment),MTHFR,Homo sapiens (Human),64
MTHFR,F8W9T8,F8W9T8_HUMAN,unreviewed,Methylenetetrahydrofolate reductase (Fragment),MTHFR,Homo sapiens (Human),229
MTHFR,L7P8G6,L7P8G6_HUMAN,unreviewed,Methylenetetrahydrofolate reductase (EC 1.5.1.20),MTHFR,Homo sapiens (Human),411
MTHFR,P42898,MTHR_HUMAN,reviewed,Methylenetetrahydrofolate reductase (EC 1.5.1.20),MTHFR,Homo sapiens (Human),656
MTHFR,Q4FE54,Q4FE54_HUMAN,unreviewed,MTHF reductase (Fragment),MTHFR,Homo sapiens (Human),54
MTHFR,Q5SNW5,Q5SNW5_HUMAN,unreviewed,Methylenetetrahydrofolate reductase (Fragment),MTHFR,Homo sapiens (Human),143
MTHFR,Q5SNW7,Q5SNW7_HUMAN,unreviewed,Methylenetetrahydrofolate reductase (EC 1.5.1.20),MTHFR,Homo sapiens (Human),696
MTHFR,Q9NY62,Q9NY62_HUMAN,unreviewed,Methylenetetrahydrofolate reductase (Methylenetetrahydrofolate reductase intermediate form) (Fragment),MTHFR,Homo sapiens (Human),101
MTHFR,Q9NY63,Q9NY63_HUMAN,unreviewed,Methylenetetrahydrofolate reductase (Methylenetetrahydrofolate reductase short isoform) (Fragment),MTHFR,Homo sapiens (Human),78
NPPA,A0A087X094,A0A087X094_HUMAN,unreviewed,Natriuretic peptides A,NPPA,Homo sapiens (Human),152
NPPA,B0ZBE8,B0ZBE8_HUMAN,unreviewed,Natriuretic peptide A variant 1 (Natriuretic peptides A),NPPA,Homo sapiens (Human),101
NPPA,P01160,ANF_HUMAN,reviewed,Natriuretic peptides A (CDD-ANF) (Cardiodilatin) (CDD) (Cardiodilatin-related peptide) (CDP) (Prepronatriodilatin) [Cleaved into: Atrial natriuretic factor (ANF) (Atrial natriuretic peptide) (ANP)],NPPA ANP PND,Homo sapiens (Human),153
PLOD1,A0A024R4H0,A0A024R4H0_HUMAN,unreviewed,"Procollagen-lysine 1, 2-oxoglutarate 5-dioxygenase 1, isoform CRA_a",PLOD1 hCG_25059,Homo sapiens (Human),727
PLOD1,Q02809,PLOD1_HUMAN,reviewed,"Procollagen-lysine,2-oxoglutarate 5-dioxygenase 1 (EC 1.14.11.4) (Lysyl hydroxylase 1) (LH1)",PLOD1 LLH PLOD,Homo sapiens (Human),727
PLOD1,Q5JXB7,Q5JXB7_HUMAN,unreviewed,"Procollagen-lysine,2-oxoglutarate 5-dioxygenase 1 (Fragment)",PLOD1,Homo sapiens (Human),283
PLOD1,Q5JXB8,Q5JXB8_HUMAN,unreviewed,"Procollagen-lysine,2-oxoglutarate 5-dioxygenase 1 (Fragment)",PLOD1,Homo sapiens (Human),225
