,DataFrame,,From Online Query on Uniprot,Entry,Entry name,Status,Protein names,Gene names,Organism,Length
45,AGRN,,PEX10,O60683,PEX10_HUMAN,reviewed,Peroxisome biogenesis factor 10 (Peroxin-10) (Peroxisomal biogenesis factor 10) (Peroxisome assembly protein 10) (RING finger protein 69),PEX10 RNF69,Homo sapiens (Human),326
46,AGRN,,PEX10,Q6FGN0,Q6FGN0_HUMAN,unreviewed,PEX10 protein,PEX10,Homo sapiens (Human),326
47,AGRN,,PRDM16,D6RDW0,D6RDW0_HUMAN,unreviewed,Histone-lysine N-methyltransferase PRDM16,PRDM16,Homo sapiens (Human),1178
48,AGRN,,PRDM16,D6RFY3,D6RFY3_HUMAN,unreviewed,Histone-lysine N-methyltransferase PRDM16,PRDM16,Homo sapiens (Human),1177
49,AGRN,,PRDM16,H0YA13,H0YA13_HUMAN,unreviewed,Histone-lysine N-methyltransferase PRDM16 (Fragment),PRDM16,Homo sapiens (Human),1084
50,AGRN,,PRDM16,L8E8P9,L8E8P9_HUMAN,unreviewed,Alternative protein PRDM16,PRDM16,Homo sapiens (Human),110
51,AGRN,,PRDM16,Q9HAZ2,PRD16_HUMAN,reviewed,Histone-lysine N-methyltransferase PRDM16 (EC 2.1.1.43) (PR domain zinc finger protein 16) (PR domain-containing protein 16) (Transcription factor MEL1) (MDS1/EVI1-like gene 1),PRDM16 KIAA1675 MEL1 PFM13,Homo sapiens (Human),1276
52,AGRN,,PRDM16,U3KQL6,U3KQL6_HUMAN,unreviewed,Histone-lysine N-methyltransferase PRDM16 (Fragment),PRDM16,Homo sapiens (Human),53
53,AGRN,,NPHP4,D6RA06,D6RA06_HUMAN,unreviewed,Nephrocystin-4,NPHP4,Homo sapiens (Human),262
54,AGRN,,NPHP4,H0YA08,H0YA08_HUMAN,unreviewed,Nephrocystin-4 (Fragment),NPHP4,Homo sapiens (Human),138
55,AGRN,,NPHP4,O75161,NPHP4_HUMAN,reviewed,Nephrocystin-4 (Nephroretinin),NPHP4 KIAA0673,Homo sapiens (Human),1426
56,AGRN,,ESPN,A0A0A0MSQ4,A0A0A0MSQ4_HUMAN,unreviewed,Espin,ESPN,Homo sapiens (Human),288
57,AGRN,,ESPN,A0A0J9YW00,A0A0J9YW00_HUMAN,unreviewed,Espin (Fragment),ESPN,Homo sapiens (Human),60
58,AGRN,,ESPN,A0A0J9YWQ8,A0A0J9YWQ8_HUMAN,unreviewed,Espin (Fragment),ESPN,Homo sapiens (Human),237
59,AGRN,,ESPN,A0A0J9YY76,A0A0J9YY76_HUMAN,unreviewed,Espin (Fragment),ESPN,Homo sapiens (Human),179
60,AGRN,,ESPN,A0A1B0GUN9,A0A1B0GUN9_HUMAN,unreviewed,Espin,ESPN,Homo sapiens (Human),1362
61,AGRN,,ESPN,A0A1B0GUS9,A0A1B0GUS9_HUMAN,unreviewed,Espin (Fragment),ESPN,Homo sapiens (Human),176
62,AGRN,,ESPN,A0A2R8Y6D3,A0A2R8Y6D3_HUMAN,unreviewed,Espin (Fragment),ESPN,Homo sapiens (Human),84
63,AGRN,,ESPN,A0A2R8Y7L7,A0A2R8Y7L7_HUMAN,unreviewed,Espin (Fragment),ESPN,Homo sapiens (Human),82
64,AGRN,,ESPN,A0A2R8YG57,A0A2R8YG57_HUMAN,unreviewed,Espin (Fragment),ESPN,Homo sapiens (Human),206
65,AGRN,,ESPN,B1AK53,ESPN_HUMAN,reviewed,Espin (Autosomal recessive deafness type 36 protein) (Ectoplasmic specialization protein),ESPN DFNB36 LP2654,Homo sapiens (Human),854
66,AGRN,,ESPN,H0Y7L4,H0Y7L4_HUMAN,unreviewed,Espin (Fragment),ESPN,Homo sapiens (Human),188
67,AGRN,,ESPN,K7EMB7,K7EMB7_HUMAN,unreviewed,Espin (Fragment),ESPN,Homo sapiens (Human),28
68,AGRN,,ESPN,Q5JYL1,Q5JYL1_HUMAN,unreviewed,Espin (Fragment),ESPN,Homo sapiens (Human),213
69,AGRN,,PLEKHG5,A0A1W2PPJ8,A0A1W2PPJ8_HUMAN,unreviewed,Pleckstrin homology domain-containing family G member 5 (Fragment),PLEKHG5,Homo sapiens (Human),70
70,B3GALT6,,PLEKHG5,O94827,PKHG5_HUMAN,reviewed,Pleckstrin homology domain-containing family G member 5 (PH domain-containing family G member 5) (Guanine nucleotide exchange factor 720) (GEF720),PLEKHG5 KIAA0720,Homo sapiens (Human),1062
71,B3GALT6,,PLEKHG5,Q5SY18,Q5SY18_HUMAN,unreviewed,Pleckstrin homology domain-containing family G member 5,PLEKHG5,Homo sapiens (Human),852
72,B3GALT6,,PARK7,K7ELW0,K7ELW0_HUMAN,unreviewed,Protein/nucleic acid deglycase DJ-1,PARK7,Homo sapiens (Human),169
73,ATAD3A,,PARK7,K7EN27,K7EN27_HUMAN,unreviewed,Protein/nucleic acid deglycase DJ-1 (Fragment),PARK7,Homo sapiens (Human),160
74,TMEM240,,PARK7,Q99497,PARK7_HUMAN,reviewed,Protein/nucleic acid deglycase DJ-1 (EC 3.1.2.-) (EC 3.5.1.-) (EC 3.5.1.124) (Maillard deglycase) (Oncogene DJ1) (Parkinson disease protein 7) (Parkinsonism-associated deglycase) (Protein DJ-1) (DJ-1),PARK7,Homo sapiens (Human),189
75,GNB1,,RERE,A0A024R4E9,A0A024R4E9_HUMAN,unreviewed,"Arginine-glutamic acid dipeptide (RE) repeats, isoform CRA_a",RERE hCG_2008872,Homo sapiens (Human),1566
76,GABRD,,RERE,A0A075B770,A0A075B770_HUMAN,unreviewed,Arginine-glutamic acid dipeptide repeats protein (Fragment),RERE,Homo sapiens (Human),213
77,GABRD,,RERE,A0A590UJ84,A0A590UJ84_HUMAN,unreviewed,Arginine-glutamic acid dipeptide repeats protein (Fragment),RERE,Homo sapiens (Human),783
78,SKI,,RERE,A0A590UK57,A0A590UK57_HUMAN,unreviewed,Arginine-glutamic acid dipeptide repeats protein,RERE,Homo sapiens (Human),402
79,SKI,,RERE,B1AKN3,B1AKN3_HUMAN,unreviewed,"Arginine-glutamic acid dipeptide (RE) repeats, isoform CRA_b (Arginine-glutamic acid dipeptide repeats protein)",RERE hCG_2008872,Homo sapiens (Human),1298
80,SKI,,RERE,D6RA28,D6RA28_HUMAN,unreviewed,Arginine-glutamic acid dipeptide repeats protein (Fragment),RERE,Homo sapiens (Human),177
81,SKI,,RERE,H0Y975,H0Y975_HUMAN,unreviewed,Arginine-glutamic acid dipeptide repeats protein (Fragment),RERE,Homo sapiens (Human),91
82,SKI,,RERE,H7BYW9,H7BYW9_HUMAN,unreviewed,Arginine-glutamic acid dipeptide repeats protein,RERE,Homo sapiens (Human),584
83,SKI,,RERE,K7EIE3,K7EIE3_HUMAN,unreviewed,Arginine-glutamic acid dipeptide repeats protein (Fragment),RERE,Homo sapiens (Human),89
84,SKI,,RERE,K7EIQ4,K7EIQ4_HUMAN,unreviewed,Arginine-glutamic acid dipeptide repeats protein (Fragment),RERE,Homo sapiens (Human),26
85,SKI,,RERE,K7EJQ1,K7EJQ1_HUMAN,unreviewed,Arginine-glutamic acid dipeptide repeats protein (Fragment),RERE,Homo sapiens (Human),35
86,SKI,,RERE,Q9P2R6,RERE_HUMAN,reviewed,Arginine-glutamic acid dipeptide repeats protein (Atrophin-1-like protein) (Atrophin-1-related protein),RERE ARG ARP ATN1L KIAA0458,Homo sapiens (Human),1566
87,SKI,,PIK3CD,A0A024R4H1,A0A024R4H1_HUMAN,unreviewed,"Phosphoinositide-3-kinase, catalytic, delta polypeptide, isoform CRA_a",PIK3CD hCG_1748740,Homo sapiens (Human),546
88,SKI,,PIK3CD,A0A2K8FKQ1,A0A2K8FKQ1_HUMAN,unreviewed,"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit (EC 2.7.1.153)",PIK3CD,Homo sapiens (Human),988
89,SKI,,PIK3CD,A0A2K8FKR1,A0A2K8FKR1_HUMAN,unreviewed,"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit (EC 2.7.1.153)",PIK3CD,Homo sapiens (Human),958
90,SKI,,PIK3CD,A0A2K8FKT1,A0A2K8FKT1_HUMAN,unreviewed,"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit (EC 2.7.1.153)",PIK3CD,Homo sapiens (Human),1014
91,SKI,,PIK3CD,A0A2K8FKV1,A0A2K8FKV1_HUMAN,unreviewed,"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit (EC 2.7.1.153)",PIK3CD,Homo sapiens (Human),1044
92,SKI,,PIK3CD,A7E2E0,A7E2E0_HUMAN,unreviewed,"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit (EC 2.7.1.153)",PIK3CD,Homo sapiens (Human),1044
93,SKI,,PIK3CD,B7ZM44,B7ZM44_HUMAN,unreviewed,"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit (EC 2.7.1.153)",PIK3CD,Homo sapiens (Human),1043
94,SKI,,PIK3CD,F8W9P4,F8W9P4_HUMAN,unreviewed,"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit (EC 2.7.1.153)",PIK3CD,Homo sapiens (Human),1068
95,SKI,,PIK3CD,O00329,PK3CD_HUMAN,reviewed,"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit delta isoform (PI3-kinase subunit delta) (PI3K-delta) (PI3Kdelta) (PtdIns-3-kinase subunit delta) (EC 2.7.1.153) (Phosphatidylinositol 4,5-bisphosphate 3-kinase 110 kDa catalytic subunit delta) (PtdIns-3-kinase subunit p110-delta) (p110delta)",PIK3CD,Homo sapiens (Human),1044
96,SKI,,PIK3CD,Q5SR50,Q5SR50_HUMAN,unreviewed,"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit (EC 2.7.1.153)",PIK3CD,Homo sapiens (Human),1068
97,SKI,,NMNAT1,A0A024R4E1,A0A024R4E1_HUMAN,unreviewed,Nicotinamide-nucleotide adenylyltransferase (EC 2.7.7.1) (EC 2.7.7.18) (Nicotinate-nucleotide adenylyltransferase),NMNAT1 hCG_1820992,Homo sapiens (Human),279
98,SKI,,NMNAT1,B1AN62,B1AN62_HUMAN,unreviewed,Nicotinamide/nicotinic acid mononucleotide adenylyltransferase 1,NMNAT1,Homo sapiens (Human),160
99,SKI,,NMNAT1,K7EPD7,K7EPD7_HUMAN,unreviewed,Nicotinamide/nicotinic acid mononucleotide adenylyltransferase 1 (Fragment),NMNAT1,Homo sapiens (Human),42
100,SKI,,NMNAT1,Q9HAN9,NMNA1_HUMAN,reviewed,Nicotinamide/nicotinic acid mononucleotide adenylyltransferase 1 (NMN/NaMN adenylyltransferase 1) (EC 2.7.7.1) (EC 2.7.7.18) (Nicotinamide-nucleotide adenylyltransferase 1) (NMN adenylyltransferase 1) (Nicotinate-nucleotide adenylyltransferase 1) (NaMN adenylyltransferase 1),NMNAT1 NMNAT,Homo sapiens (Human),279
101,SKI,,KIF1B,A0A024R4H4,A0A024R4H4_HUMAN,unreviewed,"Kinesin family member 1B, isoform CRA_b",KIF1B hCG_25285,Homo sapiens (Human),1633
102,SKI,,KIF1B,A0A087WWA3,A0A087WWA3_HUMAN,unreviewed,Kinesin-like protein KIF1B,KIF1B,Homo sapiens (Human),1797
103,SKI,,KIF1B,A0A0U1RQL3,A0A0U1RQL3_HUMAN,unreviewed,Kinesin-like protein KIF1B (Fragment),KIF1B,Homo sapiens (Human),498
104,SKI,,KIF1B,O60333,KIF1B_HUMAN,reviewed,Kinesin-like protein KIF1B (Klp),KIF1B KIAA0591 KIAA1448,Homo sapiens (Human),1816
105,SKI,,KIF1B,Q4R9M9,Q4R9M9_HUMAN,unreviewed,Kinesin family member 1Bbeta isoform II (Kinesin-like protein KIF1B),KIF1B KIF1Bbeta,Homo sapiens (Human),1809
106,SKI,,PEX14,K7EK59,K7EK59_HUMAN,unreviewed,Peroxisomal membrane protein PEX14 (Fragment),PEX14,Homo sapiens (Human),160
107,SKI,,PEX14,O75381,PEX14_HUMAN,reviewed,Peroxisomal membrane protein PEX14 (PTS1 receptor-docking protein) (Peroxin-14) (Peroxisomal membrane anchor protein PEX14),PEX14,Homo sapiens (Human),377
108,SKI,,PEX14,Q8WVL1,Q8WVL1_HUMAN,unreviewed,PEX14 protein (Fragment),PEX14,Homo sapiens (Human),20
109,SKI,,TARDBP,A0A024R4E2,A0A024R4E2_HUMAN,unreviewed,"TAR DNA binding protein, isoform CRA_b",TARDBP hCG_2005583,Homo sapiens (Human),414
110,SKI,,TARDBP,A0A087WTG4,A0A087WTG4_HUMAN,unreviewed,TAR DNA-binding protein 43 (Fragment),TARDBP,Homo sapiens (Human),35
111,SKI,,TARDBP,A0A087WV68,A0A087WV68_HUMAN,unreviewed,TAR DNA-binding protein 43 (Fragment),TARDBP,Homo sapiens (Human),212
112,SKI,,TARDBP,A0A087WVX6,A0A087WVX6_HUMAN,unreviewed,TAR DNA-binding protein 43 (Fragment),TARDBP,Homo sapiens (Human),115
113,SKI,,TARDBP,A0A087WW61,A0A087WW61_HUMAN,unreviewed,TAR DNA-binding protein 43 (Fragment),TARDBP,Homo sapiens (Human),138
114,SKI,,TARDBP,A0A087WX29,A0A087WX29_HUMAN,unreviewed,TAR DNA-binding protein 43 (Fragment),TARDBP,Homo sapiens (Human),243
115,SKI,,TARDBP,A0A087WX67,A0A087WX67_HUMAN,unreviewed,TAR DNA-binding protein 43 (Fragment),TARDBP,Homo sapiens (Human),149
116,SKI,,TARDBP,A0A087WXQ5,A0A087WXQ5_HUMAN,unreviewed,TAR DNA-binding protein 43 (Fragment),TARDBP,Homo sapiens (Human),200
117,SKI,,TARDBP,A0A087WXV3,A0A087WXV3_HUMAN,unreviewed,TAR DNA-binding protein 43 (Fragment),TARDBP,Homo sapiens (Human),175
118,SKI,,TARDBP,A0A087WYY0,A0A087WYY0_HUMAN,unreviewed,TAR DNA-binding protein 43,TARDBP,Homo sapiens (Human),304
119,SKI,,TARDBP,A0A087WZC9,A0A087WZC9_HUMAN,unreviewed,TAR DNA-binding protein 43 (Fragment),TARDBP,Homo sapiens (Human),127
120,SKI,,TARDBP,A0A087WZM1,A0A087WZM1_HUMAN,unreviewed,TAR DNA-binding protein 43 (Fragment),TARDBP,Homo sapiens (Human),78
121,SKI,,TARDBP,A0A087X260,A0A087X260_HUMAN,unreviewed,TAR DNA-binding protein 43,TARDBP,Homo sapiens (Human),301
122,SKI,,TARDBP,A0A0A0MSV7,A0A0A0MSV7_HUMAN,unreviewed,TAR DNA-binding protein 43 (TDP43 isoform F),TARDBP TDP43,Homo sapiens (Human),84
123,SKI,,TARDBP,A0A0A0N0M3,A0A0A0N0M3_HUMAN,unreviewed,TAR DNA-binding protein 43 (TDP43 isoform I),TARDBP TDP43,Homo sapiens (Human),269
124,SKI,,TARDBP,A0A1W2PNU8,A0A1W2PNU8_HUMAN,unreviewed,TAR DNA-binding protein 43,TARDBP,Homo sapiens (Human),258
125,SKI,,TARDBP,B1AKP7,B1AKP7_HUMAN,unreviewed,TAR DNA-binding protein 43,TARDBP,Homo sapiens (Human),295
126,SKI,,TARDBP,G3V162,G3V162_HUMAN,unreviewed,"TAR DNA binding protein, isoform CRA_d (TAR DNA-binding protein 43)",TARDBP hCG_2005583,Homo sapiens (Human),298
127,SKI,,TARDBP,K7EJ99,K7EJ99_HUMAN,unreviewed,TAR DNA-binding protein 43,TARDBP,Homo sapiens (Human),80
128,PEX10,,TARDBP,K7EJM5,K7EJM5_HUMAN,unreviewed,TAR DNA-binding protein 43 (Fragment),TARDBP,Homo sapiens (Human),201
129,PEX10,,TARDBP,K7EL26,K7EL26_HUMAN,unreviewed,TAR DNA-binding protein 43 (Fragment),TARDBP,Homo sapiens (Human),65
130,PEX10,,TARDBP,K7EN94,K7EN94_HUMAN,unreviewed,TAR DNA-binding protein 43 (Fragment),TARDBP,Homo sapiens (Human),275
131,PEX10,,TARDBP,K7ENM9,K7ENM9_HUMAN,unreviewed,TAR DNA-binding protein 43 (Fragment),TARDBP,Homo sapiens (Human),16
132,PEX10,,TARDBP,Q13148,TADBP_HUMAN,reviewed,TAR DNA-binding protein 43 (TDP-43),TARDBP TDP43,Homo sapiens (Human),414
133,PEX10,,TARDBP,Q9H256,Q9H256_HUMAN,unreviewed,"TAR DNA binding protein, isoform CRA_c",TARDBP hCG_2005583,Homo sapiens (Human),54
134,PEX10,,MASP2,O00187,MASP2_HUMAN,reviewed,Mannan-binding lectin serine protease 2 (EC 3.4.21.104) (MBL-associated serine protease 2) (Mannose-binding protein-associated serine protease 2) (MASP-2) [Cleaved into: Mannan-binding lectin serine protease 2 A chain; Mannan-binding lectin serine protease 2 B chain],MASP2,Homo sapiens (Human),686
135,PEX10,,MTOR,B1AKP8,B1AKP8_HUMAN,unreviewed,Serine/threonine-protein kinase mTOR,MTOR,Homo sapiens (Human),754
136,PEX10,,MTOR,B1AKQ2,B1AKQ2_HUMAN,unreviewed,Serine/threonine-protein kinase mTOR (Fragment),MTOR,Homo sapiens (Human),161
137,PEX10,,MTOR,P42345,MTOR_HUMAN,reviewed,Serine/threonine-protein kinase mTOR (EC 2.7.11.1) (FK506-binding protein 12-rapamycin complex-associated protein 1) (FKBP12-rapamycin complex-associated protein) (Mammalian target of rapamycin) (mTOR) (Mechanistic target of rapamycin) (Rapamycin and FKBP12 target 1) (Rapamycin target protein 1),MTOR FRAP FRAP1 FRAP2 RAFT1 RAPT1,Homo sapiens (Human),2549
138,PEX10,,MTHFR,A0A1B0GXD9,A0A1B0GXD9_HUMAN,unreviewed,Methylenetetrahydrofolate reductase (Fragment),MTHFR,Homo sapiens (Human),29
139,PEX10,,MTHFR,A0A1C9J7R9,A0A1C9J7R9_HUMAN,unreviewed,Methylenetetrahydrofolate reductase (Fragment),MTHFR,Homo sapiens (Human),64
140,PEX10,,MTHFR,A0A1W5XGE6,A0A1W5XGE6_HUMAN,unreviewed,Methylenetetrahydrofolate reductase (EC 1.5.1.20) (Fragment),MTHFR,Homo sapiens (Human),56
141,PEX10,,MTHFR,A0A286YF17,A0A286YF17_HUMAN,unreviewed,Methylenetetrahydrofolate reductase (EC 1.5.1.20),MTHFR,Homo sapiens (Human),549
142,PEX10,,MTHFR,A0A286YF47,A0A286YF47_HUMAN,unreviewed,Methylenetetrahydrofolate reductase,MTHFR,Homo sapiens (Human),82
143,PRDM16,,MTHFR,A0A286YFD0,A0A286YFD0_HUMAN,unreviewed,Methylenetetrahydrofolate reductase (EC 1.5.1.20),MTHFR,Homo sapiens (Human),642
144,PRDM16,,MTHFR,A0A482KE01,A0A482KE01_HUMAN,unreviewed,Methylenetetrahydrofolate reductase (EC 1.5.1.20) (Fragment),MTHFR,Homo sapiens (Human),64
145,PRDM16,,MTHFR,A0A482KFZ6,A0A482KFZ6_HUMAN,unreviewed,Methylenetetrahydrofolate reductase isoform X5 (EC 1.5.1.20) (Fragment),MTHFR,Homo sapiens (Human),60
146,PRDM16,,MTHFR,A0A4P8L6T5,A0A4P8L6T5_HUMAN,unreviewed,Methylenetetrahydrofolate reductase (Fragment),MTHFR,Homo sapiens (Human),37
147,PRDM16,,MTHFR,A0MPA5,A0MPA5_HUMAN,unreviewed,Methylenetetrahydrofolate reductase (Fragment),MTHFR,Homo sapiens (Human),64
148,PRDM16,,MTHFR,F8W9T8,F8W9T8_HUMAN,unreviewed,Methylenetetrahydrofolate reductase (Fragment),MTHFR,Homo sapiens (Human),229
149,PRDM16,,MTHFR,L7P8G6,L7P8G6_HUMAN,unreviewed,Methylenetetrahydrofolate reductase (EC 1.5.1.20),MTHFR,Homo sapiens (Human),411
150,PRDM16,,MTHFR,P42898,MTHR_HUMAN,reviewed,Methylenetetrahydrofolate reductase (EC 1.5.1.20),MTHFR,Homo sapiens (Human),656
